,city,state,stores
0,abbeville,al,1
1,addison,al,1
2,adger,al,1
3,akron,al,1
4,alabaster,al,2
5,albertville,al,6
6,alexander-city,al,5
7,alexandria,al,1
8,aliceville,al,1
9,altoona,al,2
10,andalusia,al,5
11,anderson,al,1
12,anniston,al,7
13,arab,al,2
14,ardmore,al,1
15,ariton,al,1
16,arley,al,1
17,ashford,al,1
18,ashland,al,2
19,ashville,al,3
20,athens,al,18
21,atmore,al,3
22,attalla,al,5
23,auburn,al,6
24,autaugaville,al,1
25,baileyton,al,1
26,bay-minette,al,6
27,bayou-la-batre,al,1
28,bear-creek,al,1
29,beatrice,al,1
30,berry,al,2
31,bessemer,al,11
32,billingsley,al,1
33,birmingham,al,18
34,blountsville,al,2
35,boaz,al,3
36,brantley,al,1
37,bremen,al,1
38,brent,al,1
39,brewton,al,2
40,bridgeport,al,1
41,brilliant,al,1
42,brookwood,al,1
43,brundidge,al,2
44,bryant,al,1
45,butler,al,1
46,calera,al,2
47,camden,al,1
48,camp-hill,al,1
49,carbon-hill,al,2
50,carrollton,al,1
51,castleberry,al,1
52,cedar-bluff,al,2
53,centre,al,4
54,centreville,al,1
55,chancellor,al,1
56,chatom,al,1
57,chelsea,al,1
58,cherokee,al,1
59,cherokee-ridge,al,1
60,chickasaw,al,1
61,childersburg,al,1
62,chunchula,al,2
63,citronelle,al,2
64,clanton,al,5
65,clay,al,1
66,clayton,al,1
67,cleveland,al,1
68,clinton,al,1
69,clio,al,1
70,coaling,al,1
71,coden,al,2
72,coffeeville,al,1
73,coker,al,1
74,collinsville,al,1
75,columbia,al,1
76,columbiana,al,1
77,cordova,al,1
78,cottonwood,al,2
79,courtland,al,1
80,cowarts,al,1
81,crane-hill,al,1
82,creola,al,1
83,cropwell,al,2
84,crossville,al,2
85,cuba,al,1
86,cullman,al,16
87,cusseta,al,1
88,dadeville,al,3
89,daleville,al,2
90,danville,al,2
91,daphne,al,4
92,deatsville,al,3
93,decatur,al,7
94,demopolis,al,2
95,detroit,al,1
96,dixons-mills,al,1
97,dora,al,4
98,dothan,al,16
99,double-springs,al,1
100,duncanville,al,1
101,dutton,al,1
102,east-brewton,al,1
103,eastaboga,al,1
104,echola,al,1
105,eclectic,al,2
106,eight-mile,al,4
107,elba,al,2
108,elberta,al,3
109,eldridge,al,1
110,elkmont,al,2
111,elmore,al,1
112,enterprise,al,9
113,eufaula,al,3
114,eutaw,al,1
115,eva,al,1
116,evergreen,al,2
117,excel,al,1
118,fairhope,al,4
119,falkville,al,1
120,fayette,al,2
121,five-points,al,1
122,flat-rock,al,1
123,flomaton,al,1
124,florala,al,1
125,florence,al,13
126,foley,al,7
127,forkland,al,1
128,fort-deposit,al,1
129,fort-mitchell,al,2
130,fort-payne,al,6
131,fosters,al,1
132,frisco-city,al,2
133,fruitdale,al,1
134,fruithurst,al,1
135,fulton,al,1
136,fultondale,al,1
137,fyffe,al,2
138,gadsden,al,9
139,gainesville,al,1
140,garden-city,al,1
141,gardendale,al,4
142,gaylesville,al,1
143,geneva,al,2
144,georgiana,al,1
145,geraldine,al,2
146,gilbertown,al,1
147,glencoe,al,2
148,goodwater,al,1
149,gordo,al,1
150,gordon,al,1
151,goshen,al,1
152,grand-bay,al,5
153,grant,al,1
154,graysville,al,1
155,greensboro,al,1
156,greenville,al,4
157,grove-hill,al,1
158,guin,al,1
159,gulf-shores,al,4
160,guntersville,al,5
161,gurley,al,2
162,hackleburg,al,1
163,haleyville,al,1
164,hamilton,al,3
165,hampton-cove,al,1
166,hanceville,al,3
167,harpersville,al,2
168,hartford,al,2
169,hartselle,al,5
170,harvest,al,5
171,hayden,al,1
172,hayneville,al,2
173,hazel-green,al,1
174,headland,al,2
175,heflin,al,2
176,helena,al,1
177,henagar,al,1
178,highland-home,al,1
179,hillsboro,al,1
180,hokes-bluff,al,1
181,holly-pond,al,1
182,hollywood,al,1
183,hoover,al,1
184,horton,al,1
185,hueytown,al,3
186,huntsville,al,21
187,hurtsboro,al,1
188,ider,al,1
189,irondale,al,1
190,irvington,al,2
191,jack,al,1
192,jackson,al,2
193,jacksons-gap,al,1
194,jacksonville,al,2
195,jasper,al,9
196,jemison,al,2
197,jones,al,1
198,joppa,al,1
199,kellyton,al,2
200,killen,al,4
201,kinston,al,1
202,laceys-spring,al,2
203,lafayette,al,1
204,lanett,al,1
205,lapine,al,1
206,leeds,al,2
207,leesburg,al,1
208,leighton,al,1
209,leroy,al,1
210,letohatchee,al,1
211,lexington,al,1
212,lillian,al,1
213,lincoln,al,2
214,linden,al,1
215,lineville,al,2
216,lisman,al,1
217,livingston,al,1
218,locust-fork,al,1
219,loxley,al,1
220,luverne,al,1
221,lynn,al,1
222,madison,al,6
223,magnolia-springs,al,1
224,malvern,al,1
225,maplesville,al,1
226,marion,al,2
227,mccalla,al,4
228,mcintosh,al,1
229,mckenzie,al,1
230,meridianville,al,1
231,midland-city,al,3
232,midway,al,1
233,millbrook,al,3
234,millport,al,1
235,millry,al,1
236,mobile,al,31
237,monroeville,al,2
238,montevallo,al,3
239,montgomery,al,22
240,moody,al,1
241,moulton,al,3
242,moundville,al,1
243,mount-hope,al,1
244,mount-olive,al,1
245,mount-vernon,al,1
246,munford,al,1
247,muscle-shoals,al,5
248,nauvoo,al,2
249,new-brockton,al,2
250,new-hope,al,1
251,new-market,al,2
252,new-site,al,1
253,newton,al,2
254,newville,al,2
255,northport,al,8
256,notasulga,al,1
257,oakman,al,1
258,odenville,al,3
259,ohatchee,al,2
260,oneonta,al,3
261,opelika,al,9
262,opp,al,3
263,orange-beach,al,3
264,orrville,al,1
265,oxford,al,4
266,ozark,al,4
267,parrish,al,2
268,pelham,al,3
269,pell-city,al,3
270,pennington,al,1
271,perdido,al,1
272,phenix-city,al,10
273,phil-campbell,al,2
274,pickensville,al,1
275,piedmont,al,3
276,pike-road,al,1
277,pine-hill,al,1
278,pinson,al,2
279,pisgah,al,1
280,pleasant-grove,al,2
281,prattville,al,7
282,priceville,al,1
283,prichard,al,2
284,ragland,al,1
285,rainbow-city,al,3
286,rainsville,al,2
287,ramer,al,1
288,ranburne,al,1
289,randolph,al,1
290,red-bay,al,1
291,red-level,al,1
292,reform,al,1
293,rehobeth,al,1
294,remlap,al,1
295,repton,al,1
296,riverside,al,1
297,roanoke,al,1
298,robertsdale,al,5
299,rockford,al,1
300,rogersville,al,2
301,russellville,al,7
302,salem,al,1
303,samson,al,1
304,saraland,al,3
305,satsuma,al,1
306,scottsboro,al,5
307,seale,al,1
308,section,al,1
309,selma,al,5
310,seminole,al,1
311,semmes,al,3
312,sheffield,al,3
313,shelby,al,1
314,shorter,al,1
315,silas,al,1
316,silverhill,al,1
317,sipsey,al,1
318,skipperville,al,1
319,slocomb,al,2
320,smiths-station,al,3
321,snead,al,1
322,somerville,al,3
323,southside,al,2
324,spanish-fort,al,2
325,springville,al,1
326,stapleton,al,1
327,steele,al,1
328,stevenson,al,1
329,stockton,al,1
330,sulligent,al,1
331,summerdale,al,2
332,sycamore,al,1
333,sylacauga,al,7
334,sylvan-springs,al,1
335,sylvania,al,1
336,talladega,al,7
337,tallassee,al,3
338,tanner,al,1
339,theodore,al,6
340,thomaston,al,1
341,thomasville,al,2
342,thorsby,al,1
343,titus,al,1
344,toney,al,3
345,town-creek,al,2
346,trafford,al,2
347,trinity,al,2
348,troy,al,6
349,trussville,al,2
350,tuscaloosa,al,13
351,tuscumbia,al,5
352,tuskegee,al,2
353,union-springs,al,1
354,uniontown,al,1
355,uriah,al,1
356,valley,al,3
357,valley-grande,al,1
358,valley-head,al,1
359,vance,al,1
360,vandiver,al,1
361,verbena,al,2
362,vernon,al,1
363,vina,al,1
364,vincent,al,1
365,vinemont,al,4
366,wadley,al,1
367,warrior,al,4
368,waterloo,al,1
369,weaver,al,1
370,webb,al,1
371,wedowee,al,2
372,west-blocton,al,1
373,west-jefferson,al,1
374,wetumpka,al,9
375,wilmer,al,3
376,wilsonville,al,1
377,winfield,al,1
378,woodland,al,1
379,woodstock,al,1
380,woodville,al,1
381,york,al,1
382,ajo,az,1
383,amado,az,1
384,apache-junction,az,1
385,arizona-city,az,2
386,benson,az,2
387,bisbee,az,1
388,buckeye,az,3
389,bullhead-city,az,3
390,camp-verde,az,3
391,casa-grande,az,3
392,chandler,az,1
393,chino-valley,az,1
394,clarkdale,az,1
395,clifton,az,1
396,colorado-city,az,1
397,coolidge,az,1
398,cordes-lakes,az,1
399,cottonwood,az,1
400,dolan-springs,az,1
401,douglas,az,1
402,eagar,az,1
403,eloy,az,2
404,flagstaff,az,2
405,florence,az,1
406,fort-mohave,az,1
407,gila-bend,az,1
408,glendale,az,2
409,globe,az,1
410,golden-valley,az,1
411,hereford,az,2
412,holbrook,az,1
413,huachuca-city,az,2
414,kingman,az,6
415,lake-havasu-city,az,4
416,mammoth,az,1
417,marana,az,2
418,maricopa,az,1
419,mesa,az,4
420,mohave-valley,az,1
421,oracle,az,1
422,overgaard,az,1
423,page,az,1
424,parker,az,1
425,phoenix,az,13
426,pima,az,1
427,pinetop,az,1
428,prescott,az,1
429,prescott-valley,az,1
430,quartzsite,az,1
431,red-rock,az,1
432,rimrock,az,1
433,safford,az,3
434,saint-david,az,1
435,saint-johns,az,1
436,salome,az,1
437,san-manuel,az,1
438,sanders,az,1
439,show-low,az,4
440,sierra-vista,az,2
441,somerton,az,1
442,sonoita,az,1
443,springerville,az,1
444,sun-city,az,1
445,sunsites,az,1
446,surprise,az,2
447,tonopah,az,1
448,tonto-basin,az,1
449,tuba-city,az,1
450,tucson,az,17
451,wellton,az,1
452,wickenburg,az,1
453,willcox,az,1
454,williams,az,1
455,winslow,az,1
456,wittmann,az,1
457,yarnell,az,1
458,yuma,az,3
459,alexander,ar,5
460,alma,ar,3
461,alpena,ar,1
462,altheimer,ar,1
463,altus,ar,1
464,amity,ar,2
465,arkadelphia,ar,3
466,ash-flat,ar,1
467,ashdown,ar,1
468,atkins,ar,2
469,augusta,ar,1
470,austin,ar,2
471,avoca,ar,1
472,bald-knob,ar,3
473,barling,ar,1
474,batesville,ar,6
475,bay,ar,1
476,bearden,ar,1
477,bee-branch,ar,1
478,beebe,ar,3
479,bella-vista,ar,1
480,benton,ar,8
481,bentonville,ar,3
482,bergman,ar,1
483,berryville,ar,1
484,bigelow,ar,1
485,bismarck,ar,2
486,black-rock,ar,1
487,blevins,ar,1
488,blytheville,ar,3
489,bono,ar,2
490,booneville,ar,1
491,bradford,ar,1
492,bradley,ar,1
493,brinkley,ar,2
494,brookland,ar,1
495,bryant,ar,3
496,bull-shoals,ar,1
497,cabot,ar,7
498,calico-rock,ar,1
499,camden,ar,4
500,caraway,ar,1
501,carlisle,ar,1
502,cave-city,ar,1
503,cave-springs,ar,1
504,cedarville,ar,1
505,center-ridge,ar,1
506,centerton,ar,1
507,charleston,ar,1
508,cherokee-village,ar,1
509,cherry-valley,ar,1
510,chidester,ar,1
511,clarendon,ar,1
512,clarksville,ar,3
513,clinton,ar,1
514,coal-hill,ar,1
515,concord,ar,1
516,conway,ar,8
517,corning,ar,1
518,cove,ar,1
519,crossett,ar,2
520,cushman,ar,1
521,damascus,ar,1
522,danville,ar,1
523,dardanelle,ar,3
524,de-queen,ar,1
525,de-valls-bluff,ar,1
526,de-witt,ar,1
527,decatur,ar,1
528,dermott,ar,1
529,des-arc,ar,1
530,desha,ar,1
531,dewitt,ar,1
532,dierks,ar,1
533,dover,ar,2
534,drasco,ar,1
535,dumas,ar,1
536,dyer,ar,1
537,earle,ar,1
538,el-dorado,ar,7
539,elaine,ar,1
540,england,ar,1
541,enola,ar,1
542,eudora,ar,1
543,eureka-springs,ar,1
544,evening-shade,ar,1
545,fairfield-bay,ar,1
546,farmington,ar,1
547,fayetteville,ar,7
548,flippin,ar,1
549,fordyce,ar,1
550,foreman,ar,1
551,forrest-city,ar,2
552,fort-smith,ar,13
553,fouke,ar,1
554,fountain-lake,ar,1
555,garfield,ar,1
556,gassville,ar,1
557,gentry,ar,3
558,gillett,ar,1
559,glenwood,ar,1
560,gosnell,ar,1
561,gould,ar,1
562,gravette,ar,2
563,green-forest,ar,1
564,greenbrier,ar,2
565,greenwood,ar,1
566,greers-ferry,ar,1
567,gurdon,ar,1
568,hackett,ar,1
569,hamburg,ar,2
570,hampton,ar,1
571,hardy,ar,1
572,harrisburg,ar,1
573,harrison,ar,5
574,hartford,ar,1
575,haskell,ar,2
576,hatfield,ar,1
577,hattieville,ar,1
578,havana,ar,1
579,hazen,ar,1
580,heber-springs,ar,3
581,hector,ar,1
582,helena,ar,1
583,henderson,ar,1
584,hensley,ar,1
585,hermitage,ar,1
586,higden,ar,1
587,highland,ar,1
588,hiwasse,ar,1
589,holiday-island,ar,1
590,hope,ar,2
591,horatio,ar,1
592,horseshoe-bend,ar,1
593,hot-springs,ar,9
594,hot-springs-village,ar,1
595,hoxie,ar,1
596,hughes,ar,1
597,humnoke,ar,1
598,huntington,ar,0
599,huntsville,ar,3
600,imboden,ar,1
601,jacksonville,ar,6
602,jasper,ar,1
603,joiner,ar,1
604,jonesboro,ar,13
605,judsonia,ar,2
606,junction-city,ar,1
607,kensett,ar,1
608,knoxville,ar,1
609,lafe,ar,1
610,lake-city,ar,1
611,lake-village,ar,1
612,lakeview,ar,1
613,lamar,ar,1
614,lavaca,ar,1
615,leachville,ar,1
616,lead-hill,ar,1
617,leola,ar,1
618,lepanto,ar,1
619,leslie,ar,1
620,lewisville,ar,1
621,lexa,ar,1
622,lincoln,ar,1
623,little-rock,ar,20
624,lockesburg,ar,1
625,london,ar,1
626,lonoke,ar,3
627,lonsdale,ar,1
628,lowell,ar,1
629,luxora,ar,1
630,mabelvale,ar,3
631,magazine,ar,1
632,magnolia,ar,3
633,malvern,ar,5
634,manila,ar,1
635,mansfield,ar,1
636,marianna,ar,1
637,marion,ar,1
638,marked-tree,ar,1
639,marmaduke,ar,1
640,marshall,ar,1
641,marvell,ar,1
642,maumelle,ar,2
643,mayflower,ar,1
644,maynard,ar,1
645,mccrory,ar,1
646,mcgehee,ar,1
647,mcrae,ar,1
648,melbourne,ar,1
649,mena,ar,1
650,midland,ar,1
651,midway,ar,1
652,mineral-springs,ar,1
653,monette,ar,1
654,monticello,ar,2
655,morrilton,ar,3
656,mount-ida,ar,1
657,mountain-home,ar,7
658,mountain-pine,ar,1
659,mountain-view,ar,1
660,mountainburg,ar,2
661,mulberry,ar,1
662,murfreesboro,ar,1
663,nashville,ar,1
664,new-blaine,ar,1
665,newark,ar,1
666,newport,ar,1
667,norman,ar,1
668,north-little-rock,ar,9
669,ola,ar,1
670,omaha,ar,1
671,oppelo,ar,1
672,osceola,ar,1
673,oxford,ar,1
674,ozark,ar,2
675,palestine,ar,1
676,pangburn,ar,1
677,paragould,ar,9
678,paris,ar,1
679,pea-ridge,ar,2
680,pearcy,ar,1
681,pencil-bluff,ar,1
682,perryville,ar,2
683,piggott,ar,1
684,pine-bluff,ar,12
685,pleasant-grove,ar,1
686,pleasant-plains,ar,1
687,plumerville,ar,1
688,pocahontas,ar,3
689,pollard,ar,0
690,portland,ar,1
691,pottsville,ar,1
692,poyen,ar,1
693,prairie-grove,ar,1
694,prescott,ar,1
695,proctor,ar,1
696,pyatt,ar,1
697,quitman,ar,1
698,ratcliff,ar,1
699,ravenden,ar,1
700,rector,ar,1
701,redfield,ar,1
702,rison,ar,3
703,rogers,ar,4
704,roland,ar,1
705,romance,ar,1
706,rose-bud,ar,1
707,rosston,ar,1
708,royal,ar,1
709,rudy,ar,1
710,russellville,ar,6
711,saint-joe,ar,1
712,saint-paul,ar,1
713,salem,ar,1
714,salesville,ar,1
715,scranton,ar,1
716,searcy,ar,7
717,sheridan,ar,4
718,sherwood,ar,4
719,shirley,ar,1
720,siloam-springs,ar,2
721,smackover,ar,1
722,sparkman,ar,1
723,springdale,ar,6
724,stamps,ar,1
725,star-city,ar,2
726,stephens,ar,1
727,strawberry,ar,1
728,strong,ar,1
729,stuttgart,ar,1
730,sulphur-springs,ar,1
731,swifton,ar,1
732,taylor,ar,1
733,texarkana,ar,8
734,timbo,ar,1
735,tontitown,ar,1
736,trumann,ar,1
737,tuckerman,ar,1
738,tyronza,ar,1
739,van-buren,ar,5
740,vilonia,ar,2
741,viola,ar,1
742,waldo,ar,1
743,waldron,ar,1
744,walnut-ridge,ar,1
745,ward,ar,2
746,warren,ar,3
747,weiner,ar,1
748,wesley,ar,1
749,west-fork,ar,1
750,west-helena,ar,1
751,west-memphis,ar,2
752,western-grove,ar,1
753,white-hall,ar,3
754,wickes,ar,1
755,williford,ar,1
756,winslow,ar,1
757,wooster,ar,1
758,wynne,ar,2
759,yellville,ar,1
760,adelanto,ca,1
761,alturas,ca,1
762,angels-camp,ca,1
763,antioch,ca,1
764,anza,ca,1
765,apple-valley,ca,2
766,arbuckle,ca,1
767,armona,ca,1
768,arnold,ca,1
769,arvin,ca,1
770,avenal,ca,1
771,bakersfield,ca,13
772,banning,ca,1
773,barstow,ca,3
774,blythe,ca,2
775,brawley,ca,1
776,brentwood,ca,1
777,brownsville,ca,1
778,burney,ca,1
779,cabazon,ca,1
780,calexico,ca,1
781,california-city,ca,1
782,calimesa,ca,1
783,calipatria,ca,1
784,campo,ca,1
785,caruthers,ca,1
786,ceres,ca,2
787,chester,ca,1
788,chowchilla,ca,1
789,citrus-heights,ca,1
790,clearlake-oaks,ca,1
791,cloverdale,ca,1
792,clovis,ca,1
793,coalinga,ca,1
794,coarsegold,ca,1
795,colfax,ca,1
796,colton,ca,1
797,colusa,ca,1
798,concord,ca,1
799,cool,ca,1
800,corcoran,ca,1
801,corning,ca,1
802,delhi,ca,1
803,denair,ca,1
804,desert-hot-springs,ca,2
805,dorris,ca,1
806,dos-palos,ca,1
807,doyle,ca,1
808,dunsmuir,ca,1
809,durham,ca,1
810,earlimart,ca,1
811,el-centro,ca,1
812,escalon,ca,1
813,esparto,ca,1
814,etna,ca,1
815,exeter,ca,1
816,fall-river-mills,ca,1
817,farmersville,ca,1
818,fillmore,ca,1
819,firebaugh,ca,1
820,foresthill,ca,1
821,fortuna,ca,1
822,fowler,ca,1
823,frazier-park,ca,1
824,fresno,ca,6
825,goshen,ca,1
826,grass-valley,ca,1
827,greenfield,ca,1
828,greenville,ca,1
829,gridley,ca,1
830,gustine,ca,1
831,hamilton-city,ca,1
832,hemet,ca,2
833,hesperia,ca,1
834,hilmar,ca,1
835,hollister,ca,1
836,holtville,ca,1
837,homeland,ca,1
838,hughson,ca,1
839,huron,ca,1
840,indio,ca,1
841,inglewood,ca,1
842,inyokern,ca,1
843,jamestown,ca,1
844,janesville,ca,1
845,joshua-tree,ca,1
846,keyes,ca,1
847,la-grange,ca,1
848,lake-elsinore,ca,1
849,lake-isabella,ca,2
850,lake-los-angeles,ca,1
851,lakeport,ca,1
852,lamont,ca,1
853,laton,ca,1
854,lemoore,ca,2
855,lindsay,ca,1
856,littlerock,ca,1
857,live-oak,ca,1
858,livingston,ca,1
859,lockeford,ca,1
860,loma-rica,ca,1
861,lompoc,ca,1
862,los-banos,ca,1
863,los-molinos,ca,1
864,lucerne-valley,ca,1
865,madera,ca,4
866,magalia,ca,1
867,manteca,ca,2
868,marysville,ca,1
869,mcfarland,ca,1
870,mckinleyville,ca,1
871,mendota,ca,1
872,mentone,ca,1
873,merced,ca,1
874,modesto,ca,4
875,montclair,ca,1
876,morongo-valley,ca,1
877,needles,ca,1
878,newman,ca,1
879,nice,ca,1
880,oakdale,ca,1
881,olivehurst,ca,1
882,ontario,ca,1
883,orange-cove,ca,1
884,orland,ca,1
885,orosi,ca,1
886,oroville,ca,4
887,palmdale,ca,1
888,palo-cedro,ca,1
889,paradise,ca,2
890,parlier,ca,1
891,pearblossom,ca,1
892,penn-valley,ca,1
893,perris,ca,2
894,phelan,ca,1
895,pine-grove,ca,1
896,pinon-hills,ca,1
897,pioneer,ca,1
898,pixley,ca,1
899,planada,ca,1
900,porterville,ca,3
901,portola,ca,1
902,prather,ca,1
903,proberta,ca,1
904,quincy,ca,1
905,red-bluff,ca,2
906,redding,ca,4
907,reedley,ca,1
908,ridgecrest,ca,1
909,rio-dell,ca,1
910,ripon,ca,1
911,riverbank,ca,1
912,riverdale,ca,1
913,rosamond,ca,2
914,sacramento,ca,4
915,salinas,ca,1
916,salton-city,ca,1
917,san-bernardino,ca,4
918,san-jacinto,ca,1
919,san-miguel,ca,1
920,santa-ana,ca,1
921,shafter,ca,1
922,shingletown,ca,1
923,smartsville,ca,1
924,smith-river,ca,1
925,somerset,ca,1
926,sonora,ca,2
927,squaw-valley,ca,1
928,stockton,ca,5
929,strathmore,ca,1
930,sun-village,ca,1
931,susanville,ca,1
932,sutter,ca,1
933,taft,ca,2
934,tehachapi,ca,1
935,tipton,ca,1
936,tulare,ca,2
937,turlock,ca,1
938,twentynine-palms,ca,2
939,vallejo,ca,1
940,valley-springs,ca,1
941,victorville,ca,1
942,visalia,ca,1
943,wasco,ca,1
944,waterford,ca,1
945,weaverville,ca,1
946,weed,ca,2
947,west-point,ca,1
948,westmorland,ca,1
949,westwood,ca,1
950,wheatland,ca,1
951,williams,ca,1
952,winters,ca,1
953,winton,ca,1
954,wofford-heights,ca,1
955,woodlake,ca,1
956,woodland,ca,1
957,yreka,ca,1
958,yuba-city,ca,1
959,yucca-valley,ca,2
960,alamosa,co,1
961,arvada,co,1
962,bailey,co,1
963,bayfield,co,1
964,bennett,co,1
965,brush,co,1
966,burlington,co,1
967,calhan,co,1
968,cedaredge,co,1
969,center,co,1
970,cheyenne-wells,co,1
971,colorado-springs,co,3
972,commerce-city,co,1
973,cortez,co,1
974,dove-creek,co,1
975,eaton,co,1
976,estes-park,co,1
977,evans,co,0
978,fairplay,co,1
979,federal-heights,co,1
980,firestone,co,1
981,flagler,co,1
982,florence,co,1
983,fort-garland,co,1
984,fort-morgan,co,1
985,fountain,co,1
986,fruita,co,1
987,granby,co,1
988,grand-junction,co,1
989,greeley,co,1
990,haxtun,co,1
991,holyoke,co,1
992,julesburg,co,1
993,kersey,co,1
994,kremmling,co,1
995,la-jara,co,1
996,lakewood,co,1
997,lamar,co,1
998,las-animas,co,1
999,limon,co,1
1000,loveland,co,1
1001,milliken,co,1
1002,moffat,co,1
1003,montrose,co,1
1004,olathe,co,1
1005,pagosa-springs,co,1
1006,palisade,co,1
1007,parachute,co,1
1008,penrose,co,1
1009,platteville,co,1
1010,pueblo,co,8
1011,pueblo-west,co,2
1012,rangely,co,1
1013,romeo,co,1
1014,severance,co,1
1015,silt,co,1
1016,silver-cliff,co,1
1017,simla,co,1
1018,south-fork,co,1
1019,springfield,co,1
1020,strasburg,co,1
1021,walsenburg,co,1
1022,wellington,co,1
1023,wray,co,1
1024,yuma,co,1
1025,andover,ct,1
1026,ashford,ct,1
1027,barkhamsted,ct,1
1028,berlin,ct,1
1029,bloomfield,ct,1
1030,bolton,ct,1
1031,bridgeport,ct,1
1032,bristol,ct,3
1033,broad-brook,ct,1
1034,brookfield,ct,1
1035,chaplin,ct,1
1036,colchester,ct,1
1037,coventry,ct,1
1038,cromwell,ct,1
1039,dayville,ct,1
1040,east-hampton,ct,1
1041,east-hartford,ct,3
1042,east-haven,ct,1
1043,east-lyme,ct,1
1044,eastford,ct,1
1045,enfield,ct,1
1046,gales-ferry,ct,1
1047,griswold,ct,1
1048,groton,ct,1
1049,haddam,ct,1
1050,hamden,ct,1
1051,hartford,ct,2
1052,higganum,ct,1
1053,manchester,ct,4
1054,mansfield,ct,1
1055,meriden,ct,2
1056,middletown,ct,1
1057,milford,ct,1
1058,moosup,ct,1
1059,morris,ct,1
1060,naugatuck,ct,1
1061,new-britain,ct,2
1062,new-hartford,ct,1
1063,new-haven,ct,1
1064,new-london,ct,1
1065,niantic,ct,1
1066,north-branford,ct,1
1067,north-franklin,ct,1
1068,north-grosvenordale,ct,1
1069,north-stonington,ct,1
1070,norwich,ct,2
1071,oxford,ct,2
1072,plainfield,ct,1
1073,plainville,ct,1
1074,plymouth,ct,1
1075,prospect,ct,1
1076,salem,ct,1
1077,southington,ct,2
1078,stafford,ct,2
1079,terryville,ct,1
1080,torrington,ct,2
1081,uncasville,ct,1
1082,vernon,ct,2
1083,waterbury,ct,6
1084,waterford,ct,1
1085,watertown,ct,1
1086,wauregan,ct,1
1087,west-hartford,ct,1
1088,west-haven,ct,1
1089,willimantic,ct,1
1090,willington,ct,1
1091,windham,ct,1
1092,wolcott,ct,3
1093,woodbury,ct,1
1094,bear,de,4
1095,bethany-beach,de,1
1096,blades,de,1
1097,bridgeville,de,1
1098,claymont,de,1
1099,dagsboro,de,1
1100,delmar,de,1
1101,dover,de,6
1102,ellendale,de,1
1103,felton,de,1
1104,georgetown,de,2
1105,greenwood,de,1
1106,harrington,de,1
1107,kenton,de,1
1108,laurel,de,1
1109,lewes,de,2
1110,lincoln,de,1
1111,magnolia,de,1
1112,milford,de,1
1113,millsboro,de,2
1114,millville,de,1
1115,milton,de,2
1116,new-castle,de,3
1117,newark,de,3
1118,seaford,de,2
1119,selbyville,de,1
1120,smyrna,de,2
1121,townsend,de,1
1122,wilmington,de,5
1123,smyrna,dc,1
1124,alachua,fl,3
1125,alford,fl,2
1126,altha,fl,1
1127,altoona,fl,1
1128,alva,fl,1
1129,anthony,fl,2
1130,apalachicola,fl,1
1131,apollo-beach,fl,1
1132,apopka,fl,5
1133,arcadia,fl,4
1134,archer,fl,1
1135,astatula,fl,1
1136,astor,fl,1
1137,auburndale,fl,3
1138,avon-park,fl,4
1139,babson-park,fl,1
1140,baker,fl,1
1141,baldwin,fl,1
1142,bartow,fl,3
1143,bell,fl,1
1144,belle-glade,fl,2
1145,belleview,fl,5
1146,beverly-hills,fl,1
1147,blountstown,fl,2
1148,bonifay,fl,5
1149,bonita-springs,fl,2
1150,bowling-green,fl,1
1151,boynton-beach,fl,1
1152,bradenton,fl,8
1153,brandon,fl,2
1154,branford,fl,2
1155,bristol,fl,1
1156,bronson,fl,1
1157,brooker,fl,1
1158,brooksville,fl,8
1159,bryceville,fl,1
1160,bunnell,fl,3
1161,bushnell,fl,3
1162,callahan,fl,2
1163,callaway,fl,1
1164,campbellton,fl,1
1165,cantonment,fl,6
1166,cape-canaveral,fl,1
1167,cape-coral,fl,9
1168,carrabelle,fl,1
1169,caryville,fl,1
1170,casselberry,fl,3
1171,cedar-key,fl,1
1172,center-hill,fl,1
1173,century,fl,2
1174,chattahoochee,fl,1
1175,chiefland,fl,1
1176,chipley,fl,4
1177,citra,fl,1
1178,citrus-springs,fl,1
1179,clarksville,fl,1
1180,clearwater,fl,3
1181,clermont,fl,1
1182,clewiston,fl,2
1183,cocoa,fl,10
1184,cocoa-beach,fl,1
1185,coleman,fl,1
1186,coral-gables,fl,1
1187,coral-springs,fl,1
1188,cottondale,fl,1
1189,crawfordville,fl,6
1190,crescent-city,fl,3
1191,crestview,fl,9
1192,cross-city,fl,1
1193,crystal-river,fl,4
1194,cutler-bay,fl,1
1195,dade-city,fl,6
1196,dania-beach,fl,1
1197,davenport,fl,4
1198,daytona-beach,fl,5
1199,daytona-beach-shores,fl,1
1200,de-leon-springs,fl,1
1201,debary,fl,1
1202,deerfield-beach,fl,1
1203,defuniak-springs,fl,7
1204,deland,fl,5
1205,delray-beach,fl,2
1206,deltona,fl,6
1207,destin,fl,2
1208,dover,fl,4
1209,dundee,fl,1
1210,dunedin,fl,3
1211,dunnellon,fl,2
1212,eagle-lake,fl,1
1213,east-palatka,fl,1
1214,eastpoint,fl,1
1215,ebro,fl,1
1216,edgewater,fl,2
1217,edgewood,fl,1
1218,ellenton,fl,2
1219,englewood,fl,3
1220,esto,fl,1
1221,eustis,fl,7
1222,fanning-springs,fl,1
1223,fellsmere,fl,1
1224,fernandina-beach,fl,2
1225,flagler-beach,fl,1
